Peak	Chromosome	PNRC100	PNRC200	Pique	CSDeconv	Exp. TSS	Motif absent	100>Envelope>1000	ER>1	
Chromosome:14259	1	0	0	1	1	0	1	1	1	
Chromosome:31702	1	0	0	1	1	0	0	0	1	
Chromosome:32899	1	0	0	1	1	1	1	1	1	
Chromosome:64903	1	0	0	1	1	1	1	1	1	
Chromosome:68742	1	0	0	1	1	0	1	1	1	
Chromosome:78655	1	0	0	1	1	0	1	1	1	
Chromosome:84810	1	0	0	1	1	1	1	1	1	
Chromosome:103164	1	0	0	1	1	1	0	1	1	
Chromosome:108638	1	0	0	1	1	1	1	1	1	
Chromosome:110612	1	0	0	1	1	1	0	1	1	
Chromosome:115157	1	0	0	1	1	1	0	1	1	
Chromosome:118242	1	0	0	1	1	1	1	1	1	
Chromosome:144253	1	0	0	1	1	1	0	1	1	
Chromosome:150941	1	0	0	1	1	0	1	1	1	
Chromosome:196641	1	0	0	1	1	1	0	1	1	
Chromosome:209261	1	0	0	1	1	1	1	1	1	
Chromosome:223295	1	0	0	1	1	0	1	1	1	
Chromosome:237808	1	0	0	1	1	1	1	1	1	
Chromosome:246200	1	0	0	1	1	1	1	1	1	
Chromosome:282758	1	0	0	1	1	1	0	1	1	
Chromosome:284163	1	0	0	1	1	1	1	1	1	
Chromosome:291653	1	0	0	1	1	1	0	1	1	
Chromosome:293845	1	0	0	1	1	1	1	1	1	
Chromosome:297148	1	0	0	1	1	0	1	1	1	
Chromosome:305251	1	0	0	1	1	1	1	1	1	
Chromosome:307202	1	0	0	1	1	0	0	1	1	
Chromosome:326396	1	0	0	1	1	1	0	1	1	
Chromosome:334299	1	0	0	1	1	1	1	1	1	
Chromosome:367910	1	0	0	1	1	1	0	1	1	
Chromosome:380454	1	0	0	1	1	0	1	1	1	
Chromosome:385898	1	0	0	1	1	1	0	1	1	
Chromosome:395453	1	0	0	1	1	1	0	1	1	
Chromosome:404901	1	0	0	1	1	1	1	1	1	
Chromosome:449397	1	0	0	1	1	1	1	1	1	
Chromosome:450450	1	0	0	1	1	0	0	1	1	
Chromosome:451604	1	0	0	1	1	0	1	1	1	
Chromosome:460199	1	0	0	1	1	1	0	1	1	
Chromosome:495602	1	0	0	1	1	1	1	1	1	
Chromosome:498900	1	0	0	1	1	0	1	1	1	
Chromosome:517101	1	0	0	1	1	1	1	1	1	
Chromosome:519137	1	0	0	1	1	1	1	1	1	
Chromosome:522605	1	0	0	1	1	0	1	1	1	
Chromosome:541052	1	0	0	1	1	0	0	1	1	
Chromosome:572349	1	0	0	1	1	1	1	1	1	
Chromosome:576039	1	0	0	1	1	1	0	1	1	
Chromosome:578100	1	0	0	1	1	1	1	1	1	
Chromosome:590813	1	0	0	1	1	1	1	1	1	
Chromosome:598888	1	0	0	1	1	1	1	1	1	
Chromosome:619714	1	0	0	1	1	0	1	1	1	
Chromosome:620564	1	0	0	1	1	1	1	1	1	
Chromosome:644404	1	0	0	1	1	1	0	1	1	
Chromosome:654249	1	0	0	1	1	1	1	1	1	
Chromosome:664245	1	0	0	1	1	1	0	1	1	
Chromosome:689912	1	0	0	1	1	0	1	1	1	
Chromosome:692809	1	0	0	1	1	0	1	1	1	
Chromosome:704857	1	0	0	1	1	1	1	1	1	
Chromosome:712147	1	0	0	1	1	0	0	1	1	
Chromosome:720301	1	0	0	1	1	0	1	0	1	
Chromosome:728837	1	0	0	1	1	0	0	1	1	
Chromosome:729788	1	0	0	1	1	0	1	1	1	
Chromosome:733659	1	0	0	1	1	0	1	1	1	
Chromosome:734940	1	0	0	1	1	0	0	1	1	
Chromosome:737642	1	0	0	1	1	1	1	1	1	
